Name,Preis,AltPreis,Bild,Badge,Typ,Grösse,Härtegrad,Material,Farbe,Marke
Boxspringbett Basel 180x200,2490,,,Neu,Boxspringbett,180x200,mittel,Stoff,grau,Pfister Collection
Boxspringbett Genève 160x200,2890,,,,Boxspringbett,160x200,fest,Leder,anthrazit,Swissflex
Polsterbett Zürich 140x200,1290,1590,,Sale,Polsterbett,140x200,mittel,Stoff,beige,Pfister Collection
Polsterbett Luzern 180x200,1690,,,,Polsterbett,180x200,weich,Stoff,grau,Nolte
Massivholzbett Davos 180x200,1990,,,,Massivholzbett,180x200,mittel,Eiche massiv,braun,Hülsta
Massivholzbett Bern 160x200,1790,,,,Massivholzbett,160x200,fest,Buche,beige,Hülsta
Metallbett Chur 90x200,590,,,Neu,Metallbett,90x200,mittel,Metall,schwarz,Roviva
Metallbett Biel 140x200,790,,,,Metallbett,140x200,mittel,Metall,weiss,Roviva
Futonbett Thun 140x200,890,1190,,Sale,Futonbett,140x200,fest,Stoff,grau,Pfister Collection
Boxspringbett St. Gallen 200x200,3490,,,,Boxspringbett,200x200,fest,Leder,schwarz,Schramm
Polsterbett Aarau 160x200,1490,,,,Polsterbett,160x200,weich,Stoff,blau,Nolte
Massivholzbett Winterthur 180x200,2190,,,Neu,Massivholzbett,180x200,mittel,Eiche massiv,braun,Hülsta
Boxspringbett Sion 180x200,2690,,,,Boxspringbett,180x200,weich,Stoff,beige,Swissflex
Polsterbett Lugano 90x200,890,,,,Polsterbett,90x200,mittel,Kunstleder,schwarz,Roviva
Futonbett Zermatt 160x200,1190,,,,Futonbett,160x200,fest,Stoff,grün,Pfister Collection
Massivholzbett Interlaken 200x200,2890,,,,Massivholzbett,200x200,fest,Eiche massiv,braun,Schramm
Polsterbett Locarno 140x200,1190,,,,Polsterbett,140x200,mittel,Stoff,weiss,Nolte
Boxspringbett Ascona 160x200,2290,2690,,Sale,Boxspringbett,160x200,mittel,Stoff,anthrazit,Pfister Collection
Metallbett Solothurn 90x200,490,,,,Metallbett,90x200,mittel,Metall,weiss,Roviva
Massivholzbett Glarus 140x200,1590,,,,Massivholzbett,140x200,mittel,Buche,beige,Hülsta
